Instance,VBS_Prediction
71,0.7196617566811969
129,0.7387333007931818
22,0.6935976171490593
183,0.7496050651292444
429,0.6388375777622766
64,0.6434491089654591
481,0.7334641339716328
241,0.7726374570709824
281,0.7242885800809346
84,0.7357057424651059
161,0.8005167092069136
103,0.6320861089078372
209,0.6505385432227169
206,0.6297770030564912
244,0.6146695700796297
336,0.6190826061996796
331,0.6441930192230463
0,0.621942966879127
261,0.6378697775324702
504,0.6240829057170537
407,0.6093598113016541
440,0.6226322248567616
230,0.6205476042255333
430,0.6274123142993362
A,0.6398855538058784
357,0.6266526386550193
202,0.6205549669802882
345,0.6287361086712387
232,0.6331699847948239
127,0.6257076760415651
20,0.6488023229317555
387,0.6320264102517453
67,0.6412497108390736
502,0.6373855184830861
94,0.6379410703375903
74,0.6292333990857248
23,0.6420773266214239
156,0.6399816423310365
394,0.6558665030008072
121,0.620168993924834
242,0.6273306837986636
80,0.6358021847821598
11,0.6207150476447072
59,0.6333965875542542
179,0.6253492886415077
427,0.6408644978086692
340,0.639252260413021
137,0.6325280755126073
366,0.6496561185261246
322,0.6257166334898184
81,0.6317784115114388
237,0.6163963286258339
69,0.6290455773006682
239,0.6314713257995193
497,0.6310461693556244
496,0.6427929655298869
92,0.6302838078059494
168,0.607475298892023
14,0.6312057920909574
367,0.6264663879008041
247,0.62701854530124
