Instance,AS_Prediction
71,0.8521777677922374
129,0.8438338374763074
22,0.8522696214350722
183,0.8004583793626382
429,0.8413514680256013
64,0.8572619789905638
481,0.8457819226682891
241,0.8601950793862322
281,0.8310189700589244
84,0.8498751698107825
161,0.8541962055272938
103,0.8587039744261057
209,0.8615862642028251
206,0.8596370306098496
244,0.856275041068176
336,0.8586737600847233
331,0.8558210227368233
0,0.8556484327932715
261,0.8485905307083899
504,0.8494828005035622
407,0.8537167747517331
440,0.848365281564044
230,0.8594810105902697
430,0.8411458685683252
A,0.8461875009879375
357,0.860775331310673
202,0.8351035807121397
345,0.8423070067949449
232,0.8573046680460865
127,0.849031077913153
20,0.8565709725552679
387,0.849351622570281
67,0.8414135981517135
502,0.845858230952923
94,0.8576189618291572
74,0.8508302932841044
23,0.8495673444257064
156,0.8455456847887082
394,0.8432288668025424
121,0.8570795594331565
242,0.8495382201995152
80,0.8597856588434243
11,0.8398158376756538
59,0.8610794440438353
179,0.8454054618545958
427,0.8543082852101626
340,0.8707444886539024
137,0.8515548783849488
366,0.8576326027431946
322,0.8589851219833803
81,0.8645992539800238
237,0.8522037296783779
69,0.853572329071898
239,0.8473782236430428
497,0.8413366211021632
496,0.8528838956406962
