Instance_ID,total_area_km2,total_available_points,total_fixed_turbines,density,pareto_rw_INF_avg,pareto_rw_INF_sd,pareto_rw_INF_r1,pareto_rw_INF_kr,pareto_rw_INF_sk,pareto_rw_SUP_avg,pareto_rw_SUP_sd,pareto_rw_SUP_r1,pareto_rw_SUP_kr,pareto_rw_SUP_sk,pareto_rw_INC_avg,pareto_rw_INC_sd,pareto_rw_INC_r1,pareto_rw_INC_kr,pareto_rw_INC_sk,pareto_rw_IND_avg,pareto_rw_IND_sd,pareto_rw_IND_r1,pareto_rw_IND_kr,pareto_rw_IND_sk,pareto_aw_INF_avg,pareto_aw_INF_sd,pareto_aw_INF_r1,pareto_aw_INF_kr,pareto_aw_INF_sk,pareto_aw_SUP_avg,pareto_aw_SUP_sd,pareto_aw_SUP_r1,pareto_aw_SUP_kr,pareto_aw_SUP_sk,pareto_aw_INC_avg,pareto_aw_INC_sd,pareto_aw_INC_r1,pareto_aw_INC_kr,pareto_aw_INC_sk,pareto_aw_IND_avg,pareto_aw_IND_sd,pareto_aw_IND_r1,pareto_aw_IND_kr,pareto_aw_IND_sk,decomp_rw_FV_avg_avg,decomp_rw_FV_avg_sd,decomp_rw_FV_sd_avg,decomp_rw_FV_sd_sd,decomp_rw_FV_r1_avg,decomp_rw_FV_r1_sd,decomp_rw_FV_kr_avg,decomp_rw_FV_kr_sd,decomp_rw_FV_sk_avg,decomp_rw_FV_sk_sd,decomp_rw_FD_avg_avg,decomp_rw_FD_avg_sd,decomp_rw_FD_sd_avg,decomp_rw_FD_sd_sd,decomp_rw_FD_r1_avg,decomp_rw_FD_r1_sd,decomp_rw_FD_kr_avg,decomp_rw_FD_kr_sd,decomp_rw_FD_sk_avg,decomp_rw_FD_sk_sd,decomp_rw_IN_avg_avg,decomp_rw_IN_avg_sd,decomp_rw_IN_sd_avg,decomp_rw_IN_sd_sd,decomp_rw_IN_r1_avg,decomp_rw_IN_r1_sd,decomp_rw_IN_kr_avg,decomp_rw_IN_kr_sd,decomp_rw_IN_sk_avg,decomp_rw_IN_sk_sd,decomp_aw_FV_avg_avg,decomp_aw_FV_avg_sd,decomp_aw_FV_sd_avg,decomp_aw_FV_sd_sd,decomp_aw_FV_r1_avg,decomp_aw_FV_r1_sd,decomp_aw_FV_kr_avg,decomp_aw_FV_kr_sd,decomp_aw_FV_sk_avg,decomp_aw_FV_sk_sd,decomp_aw_FD_avg_avg,decomp_aw_FD_avg_sd,decomp_aw_FD_sd_avg,decomp_aw_FD_sd_sd,decomp_aw_FD_r1_avg,decomp_aw_FD_r1_sd,decomp_aw_FD_kr_avg,decomp_aw_FD_kr_sd,decomp_aw_FD_sk_avg,decomp_aw_FD_sk_sd,decomp_aw_IN_avg_avg,decomp_aw_IN_avg_sd,decomp_aw_IN_sd_avg,decomp_aw_IN_sd_sd,decomp_aw_IN_r1_avg,decomp_aw_IN_r1_sd,decomp_aw_IN_kr_avg,decomp_aw_IN_kr_sd,decomp_aw_IN_sk_avg,decomp_aw_IN_sk_sd,PC1,PC2,PC3,Cluster_Label
12,111.3007788574034,4230,32,38.00512488254374,0.25205,0.041755808,0.3345355442,2.5001815227,-0.082931511,0.30635,0.0389027955,0.3413235424,2.7956702901,0.2771800541,0.4416,0.041102798,0.3021839752,2.6560095659,0.0357008441,0.03405,0.010263893,0.3506171416,3.6119169551,0.2495642946,0.5490625,0.1495578771,0.9397643696,1.7984407995,-0.3288636912,0.080875,0.074526736,0.8975811868,3.4713185824,1.0862579017,0.3700625,0.0835332784,0.8783948763,1.753103611,0.0016825495,0.0424375,0.0109827635,0.1308636023,3.0724958968,0.6218431731,0.4946677293,0.3002012079,0.0038270879,0.0024141805,0.925732337,0.0384854412,2.5828409042,0.7703267599,0.0849245315,0.4889602391,2.53138e-05,8.97285e-05,0.0001367365,8.28035e-05,0.4594139654,0.1586712691,2.7710285077,0.4191365862,0.030525405,0.2715871426,0.50684,0.0235145359,0.0478397293,0.0069545883,0.3850692919,0.1698279117,2.8060684423,0.4431162002,0.0347006977,0.2593179911,0.4453314856,0.270691915,0.0259255965,0.0158165759,0.9494739173,0.0472580285,2.3979585558,0.4945573141,0.7661944271,0.2229381302,-0.0015326227,0.0009314335,0.0006760093,0.0004125045,0.9129747405,0.1282791481,2.4623739392,0.5568100036,0.7542357243,0.2237726941,0.1447786091,0.0245018635,0.1436397437,0.0171198903,0.9146250868,0.0375642539,2.8595547785,0.4841056481,0.9913688971,0.2221344318,9.384745503711908,1.228504156469444,2.0322374594903763,4
16,106.88408560454268,3994,18,37.36758355942048,0.21765,0.0412822904,0.2641651057,2.7177597857,-0.0877481291,0.27065,0.0469023187,0.6197518218,2.9508340276,-0.4418008239,0.5117,0.0467558552,0.3949433667,2.604585442,0.2181065954,0.0382,0.0104527508,-0.0981457919,3.4247672651,0.2196332421,0.705326087,0.1551275848,0.9233305574,2.094632429,-0.570523932,0.0715217391,0.0555199686,0.809438026,2.8094825431,0.9036377012,0.2231521739,0.1056159917,0.8932939594,2.1569222276,0.5592487283,0.0270652174,0.0085067803,0.2027026522,2.5462924581,0.400661659,0.483586706,0.2942444077,0.0042827998,0.0029346598,0.9062977504,0.0448642751,2.4567950338,0.3983317971,-0.0958200195,0.4009305805,4.79828e-05,0.0002059318,0.0001814142,0.0001180263,0.5201195473,0.1533999812,2.7672075508,0.4054133892,-0.0546744787,0.2400290297,0.5105625,0.0502868369,0.0521905885,0.0102407321,0.4534194047,0.1724394586,2.8105459917,0.3087507778,-0.025012309,0.3084665542,0.4271899947,0.2600350846,0.0363420175,0.0218648708,0.9520327063,0.0289216098,2.0506530573,0.2469967731,0.5976894675,0.1595124701,-0.002388342,0.0014341975,0.0011947885,0.0007161293,0.9385769436,0.0350337239,2.100967767,0.3627294892,0.5980124937,0.2048549484,0.1582320551,0.0244428722,0.1581896719,0.019271239,0.91514068,0.0312768939,2.5346229633,0.3084687422,0.877031874,0.1595557342,10.831477246435748,-5.5439742795813,3.4076548210307656,4
17,112.35072085419851,4121,50,36.67978245860982,0.2557,0.0445983184,0.4847976679,2.7440803125,0.0743489588,0.26265,0.0436088007,0.4883979258,3.1268916684,0.1042287773,0.48165,0.0348859212,0.0391885978,2.9252408714,0.0052399155,0.03455,0.0107493023,0.1324164392,2.8038261594,0.3158718797,0.6069318182,0.1306374925,0.8314013257,2.2730218864,-0.47723949,0.0603409091,0.0536338356,0.8632107972,3.5777441928,1.1825898736,0.3327272727,0.0872460897,0.6971820759,2.1767833173,0.2674758316,0.03625,0.0087337511,0.0350631136,2.9658562467,0.1519181873,0.4849096452,0.2943442637,0.0042080969,0.0024619249,0.9288611363,0.0380272032,2.4591042201,0.3703908817,-0.0310880655,0.3854273779,-3.01646e-05,0.000160948,0.0001554567,8.74365e-05,0.4854246639,0.1845153184,2.8326406055,0.4032737009,-0.0072176232,0.3012733213,0.4889325,0.0297056067,0.0503570414,0.0108670723,0.3950611464,0.1871325429,2.90621871,0.4764025662,-0.0452297746,0.2653363288,0.4416808588,0.268242745,0.0233519913,0.0144512355,0.94578853,0.0382009465,2.4695870866,0.2861488662,0.8066336303,0.168609319,-0.0014729399,0.0008962989,0.0006339617,0.0003903605,0.921224485,0.0713989734,2.6042710302,0.4237889822,0.8305391306,0.2114214802,0.1449016575,0.0248054855,0.1428107908,0.0142657466,0.9121970923,0.045488251,2.9332419608,0.3914171228,1.0254829991,0.2112859501,9.814085165085126,-2.40234166679066,-2.521340538030672,4
76,144.77466411186242,5288,28,36.52572798175614,0.24305,0.0599537113,0.6565980012,2.8360321106,0.6558973362,0.195,0.0524404424,0.5801109999,2.5824958678,0.2130728852,0.56195,0.0506008646,0.4072497055,2.5406868372,0.0244496472,0.04995,0.0114781314,0.0779451109,2.6041323268,0.4437280409,0.576147541,0.0877841683,0.7915983385,4.672412048,-1.1307338443,0.0844262295,0.0576030677,0.8641170316,2.692510211,0.6916707,0.3394262295,0.0464749039,0.3382412391,3.7011054439,0.8474891302,0.0442622951,0.0083879336,0.0748402187,2.1526703535,0.1499399538,0.4970565376,0.3014624507,0.0013882976,0.0009674344,0.8938724765,0.0666242985,2.632064962,0.597122008,-0.1108696563,0.3719890749,-4.635e-07,3.24444e-05,9.17669e-05,5.9022e-05,0.6689424661,0.108051404,2.9297131971,0.5363977451,-0.0075567861,0.3084576153,0.4922125,0.0314851587,0.0624176076,0.0116337604,0.5608989488,0.1092710401,2.898464138,0.403690839,-0.0544368562,0.2543662371,0.4657549845,0.283175621,0.0118399273,0.0071278204,0.9700910716,0.0035502506,2.7543773161,0.2647460011,0.9235193979,0.1366996385,-0.0005988114,0.0003561103,0.0001733473,0.0001067328,0.8907613704,0.0272008199,4.8809232746,1.3867878197,1.472990736,0.3258973596,0.1229636049,0.026222142,0.1228450095,0.0216461412,0.9154501071,0.0201158626,4.3303918475,1.1716574009,1.38044815,0.2730144353,2.73740564547353,-3.6506392158593433,-9.860440484166519,4
79,114.46852567891511,4273,27,37.3290384815979,0.2381,0.0377675787,0.2491261341,2.8102016179,0.0408804343,0.2633,0.0761026281,0.7749815945,2.220136008,0.4176161282,0.4986,0.0631073688,0.5821055986,2.6125169142,-0.3315417056,0.03955,0.0100770779,0.3604131582,2.6387976094,-0.1407890727,0.6291666667,0.124471747,0.881921133,2.4673464618,-0.6469757672,0.0780769231,0.0765951343,0.8792698489,3.6968316212,1.2654233139,0.2927564103,0.0589254605,0.7112427783,2.4265628631,-0.0894849845,0.0408974359,0.0109703443,0.340438884,3.0901639277,0.5066046561,0.4885935609,0.2966853845,0.0040103825,0.0026538167,0.903739145,0.0479301582,2.3019406385,0.5624909912,0.0465702705,0.3750490582,6.5037e-06,0.0001091888,0.0001473118,9.53183e-05,0.4054449522,0.1441657119,2.7377319306,0.3999915417,0.0589308927,0.3148113407,0.4935125,0.038169716,0.0456992644,0.0070089128,0.3269916941,0.1622205039,2.8434897608,0.4253413323,0.0257768586,0.2107463383,0.4211909444,0.2558303895,0.0335816868,0.0203892932,0.9623629066,0.015685166,2.1922498122,0.2053192461,0.6740556731,0.1313577002,-0.0017159321,0.001038073,0.0008135579,0.0004907317,0.9456541925,0.0264775434,2.244494917,0.2704575738,0.6833597086,0.1407246029,0.1547878464,0.0186944265,0.1547094117,0.0129317712,0.9269146292,0.0222019111,2.6826528628,0.3588006091,0.9457472095,0.1551638697,6.835693798492758,-5.903831456438968,-0.20602600770931695,4
87,102.53397942951942,3677,45,35.86128247882473,0.2565,0.046252027,0.471396928,2.6271113443,-0.1882112903,0.26545,0.0536986732,0.4757114511,2.6888934126,0.1925074583,0.47805,0.0639448786,0.6307033577,2.3299745298,0.2809587332,0.0351,0.0112245267,0.2838314817,3.1358315496,0.1606601012,0.6391346154,0.1777387916,0.9343453508,2.0264448448,-0.5302234663,0.0947115385,0.1044510074,0.8870453581,3.4141942298,1.2410906557,0.2661538462,0.0874016776,0.9054238508,1.9525454609,-0.1076542727,0.0334615385,0.012346693,0.489901064,2.9014236104,0.5315670221,0.4751166757,0.2884888281,0.0063546897,0.0041029135,0.9208177853,0.0386632485,2.516402012,0.5511267778,-0.1030923597,0.4738569669,7.26001e-05,0.0003466317,0.0003421458,0.0002104064,0.7168471858,0.107470444,2.6957465546,0.5366488208,-0.1411834333,0.4266020946,0.5091875,0.0502658305,0.0666954922,0.0114251891,0.6640973343,0.097435104,2.6027092837,0.3985001345,-0.0791144967,0.3356088765,0.4296200321,0.2622567817,0.026943432,0.0166279657,0.9201560626,0.0352246991,2.4920239033,0.6483842211,0.8137390439,0.2798285727,-0.0028121265,0.0016642386,0.0013003738,0.0008110747,0.906723566,0.0319436012,2.4967571224,0.5255780749,0.8192579308,0.244131083,0.1391199086,0.022780544,0.1540577773,0.0185939622,0.8859390808,0.0276639882,2.9831328119,0.4441134039,1.1016156213,0.1953979141,17.42701437666803,-8.695138050240923,2.9858701553950957,4
95,103.85849812869792,3771,42,36.309017248902485,0.23575,0.0724961206,0.7395147192,2.6718067305,0.7176203784,0.2973,0.0839119181,0.8257586606,2.27657607,0.0848467641,0.46695,0.0438000856,0.4941349311,2.6020857964,-0.0441706987,0.0344,0.0100816665,0.1172453963,3.7888981971,0.573990108,0.624,0.152485056,0.9231893366,2.390990414,-0.9275998104,0.0714615385,0.071595676,0.9016678005,3.5296341137,1.2255779248,0.3045384615,0.0893425692,0.8174408412,2.5393101945,0.888316159,0.0397692308,0.0125707465,0.0749891554,2.761922348,0.0579833592,0.4960165057,0.3019247211,0.0023888198,0.0015959046,0.909940445,0.03679378,2.4514044736,0.5499697647,0.1209363311,0.3358541378,-1.00616e-05,7.20009e-05,0.0001227114,7.63583e-05,0.6157539351,0.1321663455,2.6741657895,0.3058727201,-0.0439709511,0.2803255749,0.489725,0.0295616453,0.0604047824,0.0113157308,0.5384600393,0.130511742,2.7927803327,0.3327380785,-0.02014318,0.2975267699,0.4463090524,0.2704779311,0.0256470792,0.0151064204,0.9743488333,0.007767451,2.14202676,0.1805615359,0.6025556358,0.1216303008,-0.0011031216,0.0006853842,0.0004348673,0.0002563227,0.93871706,0.0203471142,2.804525402,0.5257833955,0.8558331967,0.1892413386,0.1337218835,0.0181294999,0.1341917957,0.0140275747,0.9203254881,0.0219143219,3.5163081569,0.8194865075,1.1893112668,0.2543089379,4.595719988967572,-5.421779352827493,-4.990969469566839,4
103,226.0273317322685,8293,6,36.69025306117906,0.33855,0.0578977331,0.4757527548,2.6552811324,-0.0796899268,0.213,0.0469201449,0.5052952963,5.3232017338,0.9277533201,0.44845,0.0460309407,0.2973955658,2.800598453,0.2522246816,0.04015,0.0112573309,0.0651010111,2.8791105198,0.2202553603,0.6042366412,0.1600816505,0.9444308707,2.9353620125,-0.9703896533,0.0912977099,0.095780418,0.9143885184,7.080664639,2.0122900169,0.3044656489,0.080367125,0.8364171974,2.5908050058,0.5564608215,0.0363740458,0.010503606,0.2093769014,2.9030622734,-0.0636720028,0.4937503919,0.300003098,0.0013804362,0.0009416459,0.9138666133,0.0470445712,2.4237146232,0.5658654834,-0.1426027637,0.4052357909,-2.00662e-05,3.7292e-05,8.36171e-05,5.91814e-05,0.6648340918,0.1356498233,2.5109904609,0.4186469906,-0.0899933415,0.2286849358,0.4867275,0.0210761208,0.05695934,0.0088844784,0.4977170352,0.1340087,2.617252721,0.2755905231,0.0860696887,0.2272799974,0.458350401,0.2786832655,0.0167920108,0.0100896813,0.982546093,0.0038660022,2.2616612172,0.1530229661,0.6874864197,0.1234877398,-0.0005383419,0.0003237416,0.0001561585,9.09241e-05,0.8972800788,0.0314636091,3.8889344445,1.3177494407,1.0212677179,0.248923397,0.1422152107,0.0326837092,0.1225110809,0.0186343047,0.9235017596,0.0262123538,3.3210316753,0.8696370224,1.001051828,0.2242607354,2.664792746184668,-3.6611658899056088,-8.662213130948293,4
107,120.3487986079694,4321,56,35.90397286869025,0.2848,0.045226762,0.490404135,2.2373968361,0.1660346082,0.20995,0.0458011736,0.5282158827,3.9593396168,0.6954246554,0.50525,0.049746231,0.5618804637,2.6044275464,0.2562638895,0.03935,0.0100661562,0.1241559169,2.9123051486,-0.0793024116,0.5401190476,0.1709166049,0.9222070468,2.0927549832,-0.4963409247,0.0851190476,0.0849473793,0.8752155403,2.8006688124,0.9824534569,0.3747619048,0.0939221586,0.8357534453,2.1232497853,0.1606026777,0.0347619048,0.0094461116,-0.0608161648,2.316971789,-0.2280357285,0.4886539679,0.2963840746,0.0050772507,0.0040320857,0.9055820437,0.0430768303,2.4317368638,0.5145729119,0.0301043398,0.3061695431,-4.2276e-06,0.0001696875,0.0002221923,0.0001583199,0.5361520604,0.1508158498,2.7016561389,0.3932710709,0.0392876836,0.2345064698,0.4982925,0.0316553008,0.0528315804,0.0111719732,0.4661378724,0.1617688229,2.721760546,0.4596672919,0.0510345613,0.2210174013,0.4268117417,0.2590714927,0.0243407048,0.0157441787,0.9396081562,0.02197435,2.4855761379,0.2204787761,0.8543294693,0.1182233182,-0.0020427361,0.001244391,0.0008516973,0.0005477799,0.9192957395,0.0317502841,2.5313167434,0.2161423824,0.8521433324,0.1189524249,0.1338037842,0.0270144838,0.1453530057,0.0271966308,0.8969276554,0.0268730835,3.0620375133,0.4897007148,1.112613359,0.1960847935,10.718027479738108,-6.721520368599746,-1.3649007958699317,4
115,108.387045872234,3906,9,36.03751692434139,0.25035,0.0416008113,0.4164028372,3.5301357252,0.2675034703,0.233,0.046233105,0.5234413802,2.7157966964,0.2903213214,0.51665,0.0496993712,0.3819032366,3.6468683646,0.280469652,0.03875,0.0106858551,0.1723377876,2.8292767761,0.3392142883,0.4822413793,0.1625607908,0.9536597149,1.7033288031,-0.0552271221,0.0968103448,0.0791806004,0.9343342301,2.7305946978,0.7683116425,0.4209482759,0.0941269177,0.8605550747,2.0458067089,-0.1149811533,0.0381896552,0.0109346915,0.2033184856,3.84747103,0.4764912672,0.4908471939,0.29876231,0.0035550074,0.0022754274,0.9455774852,0.0377422686,2.4496047581,0.5553701582,0.1193904273,0.4572247015,-2.65269e-05,8.00903e-05,0.0001060608,6.4434e-05,0.4404881836,0.1584437958,2.825390041,0.3887294029,0.0674116853,0.3022786648,0.489125,0.0257863166,0.0445818604,0.0039443596,0.3171891614,0.1456092999,2.8951605935,0.3179096813,0.0792192181,0.2667734746,0.4388031924,0.2654412439,0.0305663218,0.0179922575,0.9689442366,0.0183435327,2.066089551,0.1739910723,0.5680050456,0.1310438709,-0.0013861479,0.0008617683,0.0006396777,0.0003784654,0.9511178831,0.0351918138,2.1349811578,0.2830046415,0.58825421,0.1629201661,0.1548269378,0.024351078,0.1469509701,0.0125869808,0.9346788793,0.0227642441,2.5431214065,0.3212531459,0.8667930601,0.1890200591,4.362719034064089,-3.3928460019146356,0.03916265666838383,4
120,108.79728083954735,3988,60,36.65532786505431,0.36165,0.0852791153,0.8048350915,2.7397385194,-0.5362505474,0.2953,0.0531592889,0.5750443307,3.3801524521,0.434147867,0.34305,0.0581459156,0.6121467831,2.2875821442,0.0712896373,0.02495,0.0084998529,0.1999068338,2.5230531566,0.3209403295,0.6349056604,0.1995099907,0.9276151836,2.1118597275,-0.5725691784,0.1020754717,0.1005289499,0.8930034927,3.9309146137,1.3325819359,0.2630188679,0.1094512023,0.9216503245,2.0112931327,0.2628358385,0.0322641509,0.0081591503,-0.0050733192,4.3954240899,0.2403440129,0.4841953449,0.2929682727,0.0062637733,0.0038092967,0.9063735315,0.0453855315,2.6946420762,0.8712182534,-0.0412702696,0.5553661072,1.201e-05,0.0002166402,0.0003413688,0.0001993362,0.6494855989,0.1000686171,2.8304793206,0.52330065,-0.0631738006,0.4190635488,0.496995,0.0560311474,0.0611285592,0.0099939857,0.5923092943,0.1147333705,2.7143726172,0.4038658797,-0.0525871587,0.3296265373,0.4350444008,0.2633615358,0.0272685931,0.0167533029,0.911942486,0.0557840727,2.8633138339,1.0441822016,0.9839011699,0.3319272359,-0.002659607,0.0016463108,0.0011689009,0.0007228148,0.8782378631,0.0995817609,2.9476919472,1.1867048496,0.9860340866,0.3199131969,0.1412409957,0.0238960055,0.1522825756,0.0208149143,0.8819546134,0.0544295955,3.1245038595,0.8367423062,1.1212464624,0.2514789045,20.715840884295673,-5.314207505358866,-3.1219545290762176,4
126,232.8071760679353,8709,42,37.40864069180854,0.2461,0.0720922326,0.7161798585,2.1134799932,0.4459090999,0.26025,0.0627629469,0.7611775585,2.3954056862,0.0274813166,0.49365,0.0514968688,0.450038634,3.0307912035,-0.0134073177,0.034,0.0093808315,-0.0296624616,2.7835743802,0.3815808276,0.5242857143,0.1460739026,0.9116580731,2.5924650485,-0.6139009229,0.098452381,0.086354668,0.8627915565,4.9890841326,1.4580144767,0.3772619048,0.0715159188,0.7673373321,2.2705772191,-0.0427913979,0.040297619,0.0094915749,0.210427311,2.6145162325,-0.3464379332,0.4936585028,0.2996163645,0.0015121605,0.0010125528,0.9446251289,0.0392379268,2.5382394171,0.9351899148,-0.1788880028,0.5094780244,-8.0374e-06,3.73208e-05,6.64074e-05,4.1911e-05,0.6430375011,0.1284455319,2.7035737599,0.450005598,0.0176592226,0.2741709452,0.4941025,0.0263056243,0.0634883104,0.0112029268,0.5680620743,0.1389381257,2.6935858453,0.3060816191,0.0158711352,0.2184004484,0.4626931225,0.2804927812,0.0183789934,0.010900865,0.9813520238,0.0072930082,2.1348731764,0.1583777429,0.6028435101,0.1222877287,-0.0006419384,0.0003989717,0.0002073912,0.0001233409,0.9305756461,0.0167227443,3.4564476502,0.8067424259,1.0756569836,0.2750562057,0.1230942817,0.0258299812,0.1180656179,0.0224458104,0.9109260762,0.0216442092,4.3231153767,1.3353394165,1.3418312009,0.2993739568,2.3995640907961415,-3.714663031147733,-6.865351397531838,4
149,134.39667315860083,5100,42,37.94736789341144,0.27825,0.0450908805,0.3518595109,3.0575676779,-0.2253714949,0.21555,0.0420648012,0.5453336084,2.4016359693,0.165608678,0.5062,0.0566529787,0.4426201321,2.3782386047,0.1926312351,0.04315,0.0125828256,0.0713912292,3.560588389,0.5528035356,0.436547619,0.1286120416,0.9357732624,2.1026525311,-0.0943961278,0.0946428571,0.0831549963,0.8699394788,3.0078103392,1.0762922725,0.4688095238,0.0663397597,0.7683878588,2.3356187806,-0.2589882511,0.0411904762,0.0142598973,0.2172584697,2.8102762283,0.5721286381,0.482751968,0.2939309771,0.0032895191,0.0023820126,0.9284792657,0.0389607949,2.381359962,0.4645642249,0.0013716687,0.3878283318,-9.9878e-06,0.0001162094,0.0001095797,7.21707e-05,0.4787305668,0.1575150185,2.9145597676,0.4149368488,0.0084865203,0.3371178737,0.49774,0.0332062291,0.045356475,0.008567609,0.3826942831,0.1628824083,2.9230444416,0.3529563716,0.0327362612,0.287074825,0.4465479228,0.2718305981,0.0229288381,0.0142157361,0.9601257936,0.0245138538,2.2359437673,0.1654115299,0.6699087971,0.1019346988,-0.0011634633,0.0006939016,0.0005393007,0.0003337542,0.9395872267,0.0338623422,2.2840099593,0.1955563335,0.670765633,0.1122726071,0.1517185613,0.0203201945,0.1471066149,0.0187072028,0.9236648655,0.0266298211,2.6997815314,0.3198021222,0.9434142588,0.1329888953,5.520742026460462,-3.1728747826371912,0.6615366593085087,4
164,106.0531438158042,3829,20,36.104540254368175,0.2562,0.0326122676,0.3011865218,2.5622853558,-0.0767056673,0.26375,0.0365196865,0.3158684581,2.2347842258,-0.0713049623,0.48005,0.0444718731,0.3202936014,2.6654014276,0.1015255014,0.03505,0.0100621817,0.151797659,2.8133216725,0.4427519684,0.4462195122,0.1366756017,0.9250025333,2.0282216638,-0.2650439099,0.0767073171,0.0810947185,0.88474242,3.1361526113,1.2148764008,0.4770731707,0.0710631427,0.825419573,2.346698174,-0.493048186,0.0480487805,0.0121914629,-0.0989712518,2.9788577369,0.3563726873,0.4881652784,0.2964977614,0.0036335377,0.0025635904,0.9295017013,0.0465984991,2.4092920182,0.5282872935,-0.1251629238,0.4189116506,2.7218e-05,0.0001149101,0.0001250015,7.75812e-05,0.5047576679,0.1661438411,2.5917617884,0.3396655595,-0.0110805754,0.2164759459,0.504275,0.0418279467,0.0499032093,0.0102928105,0.4173106342,0.1681581601,2.6393535022,0.3311208979,0.005724416,0.2141468369,0.4542056918,0.2761252055,0.0208521385,0.0132427497,0.9525533998,0.0172350842,2.4979444857,0.2750856057,0.8430432862,0.1487886739,-0.0012397036,0.000748439,0.0005449247,0.0003465201,0.9362631105,0.025830752,2.5092987188,0.3276885818,0.8245054896,0.1700410629,0.142846133,0.0223585078,0.1475878727,0.0165481671,0.9280515664,0.024722548,2.878788569,0.5107939073,1.0412994942,0.207637948,4.639363538108006,-3.3812767596539626,1.704632453384428,4
176,117.84635555508916,4299,40,36.47970257332536,0.25725,0.0435337513,0.3241996359,2.9844625889,0.3073748278,0.23595,0.0487939289,0.4174334406,2.9263943689,0.4347041784,0.5068,0.0466771893,0.2371977946,3.3732283525,-0.3869887701,0.03855,0.0106605581,0.0987566594,3.0211495169,0.0092157062,0.5344117647,0.1596861108,0.9531698111,1.8518358347,-0.3449324715,0.1047058824,0.0931813105,0.93119663,2.6472637536,0.9012422357,0.3608823529,0.0780504229,0.8681599418,1.928785407,-0.0081678137,0.0407843137,0.013224033,0.3525611817,2.3539853389,0.3835874393,0.4826821704,0.293652501,0.0049014075,0.0030991046,0.925233185,0.0575979118,2.4182680799,0.6628860694,-0.1496858044,0.4294919391,-3.10559e-05,0.0002049397,0.0002009219,0.000120094,0.5710749111,0.1715362432,2.6437942286,0.3377898095,-0.0641878031,0.2003911395,0.503575,0.0408757003,0.0533262597,0.0100178107,0.4784099589,0.1885124152,2.6487073848,0.2741232912,-0.0185252191,0.1760545492,0.4232792635,0.256595183,0.0310570196,0.0191575731,0.9448514876,0.0390052055,2.2838306386,0.2697850601,0.7562352229,0.1828523854,-0.0020907286,0.001297929,0.0010205464,0.0006306814,0.9361640812,0.026791136,2.2881725479,0.3244376302,0.7476192717,0.183825291,0.151596672,0.0271554267,0.1572467881,0.0134386752,0.9176215799,0.0244880499,2.8478046926,0.692987256,1.0072169554,0.2794450763,11.767406649305283,-5.833310246859399,0.19570031182221018,4
178,113.94259145875574,3963,58,34.78067287450192,0.28695,0.0648301435,0.6843078778,2.4584453581,0.0210075631,0.23055,0.0600537051,0.665390803,2.5519625529,0.0346081205,0.4825,0.052160809,0.3939450094,4.2448399624,0.5630686922,0.0374,0.010061809,0.0745426082,2.8933390322,0.3310710286,0.5875423729,0.1744127505,0.9246610565,2.4648122332,-0.601803535,0.0993220339,0.0976480086,0.8448455922,4.9538861084,1.5507071381,0.3131355932,0.0896835222,0.8571391925,1.9252805774,0.0103413634,0.0326271186,0.0097143931,0.2212254315,3.0456557759,0.5994598117,0.4779143782,0.29126652,0.0073529945,0.0053491728,0.9335747276,0.0368701178,2.3060575008,0.4389007859,0.0627397444,0.3230816679,5.5389e-05,0.0002461003,0.0003644837,0.0002482909,0.7008750381,0.1195108797,2.5530281509,0.3381966874,0.0728232829,0.2963265546,0.5010875,0.04020351,0.0642893011,0.0107618955,0.6037586592,0.1542745771,2.5658761221,0.2731036524,0.0354649853,0.2353492489,0.4510478054,0.2728329988,0.0230308619,0.0140075557,0.9187762852,0.0133825889,2.6758103317,0.2787690627,0.9124994225,0.1304494575,-0.0024385292,0.0015374093,0.0010166705,0.0006204328,0.8966115461,0.0351410519,2.7745830697,0.5307793937,0.9251515256,0.1971690138,0.1369788983,0.0257115113,0.1441938007,0.0261376159,0.8876045109,0.0281670665,2.9884508754,0.5414205305,1.0859232569,0.2038525296,14.90400625585034,-9.82180009590952,-1.072617985261366,4
