Instance,VBS_Prediction
71,0.724730649935437
129,0.7400223810096898
22,0.6852507607825562
183,0.7573123304063616
429,0.6444006209572706
64,0.646066182058795
481,0.7531697029581125
241,0.7635319031693772
281,0.7152126490048001
84,0.761584086167335
161,0.7953282617809515
103,0.6181305564921943
209,0.6375949118031522
206,0.6266975179736246
244,0.6320422090541133
336,0.6340614389874318
331,0.641065100436018
0,0.6418688990588584
261,0.6377125288548133
504,0.6334890013992522
407,0.6168932602747408
440,0.6232120077311804
230,0.6288960993110017
430,0.6369002365561505
A,0.6122099079133977
357,0.6325611697402794
202,0.6393485081432044
345,0.6293281863554029
232,0.624389899618843
127,0.6367477712256275
20,0.6407454748794162
387,0.6196176899530492
67,0.6387124719232883
502,0.6409991559729578
94,0.6285583274615686
74,0.6244628363196614
23,0.6307016631967235
156,0.6256595747867079
394,0.6282775448578424
121,0.6264048083361176
242,0.637027977760384
80,0.6142325202245474
11,0.6295686972596344
59,0.6367297591096162
179,0.6352510130396085
427,0.6425915147912774
340,0.6213144692386164
137,0.6199392056675307
366,0.6509411622133071
322,0.620289783987324
81,0.6285347175884496
237,0.618360520391039
69,0.621307120702238
239,0.6389686638035922
497,0.6264485735066551
496,0.6196504896876985
92,0.6361359426106854
168,0.6332976061785474
14,0.6253113390825347
367,0.6127684790285524
247,0.6254285367947533
